id,company,title,season,season_inferred,seasons,program,remote,category,location,sponsorship,h1b_approvals,salary,skills,posted_at,posted_at_source,first_seen_at,url
ashby:modal:38888294-6bc7-4dab-b072-6d0f0c2ed79a,Modal,ML Research Intern,Not stated,True,,Internship,,Data & ML/AI,New York,unknown,,$15K per month,Git,2026-07-28T22:02:03.674+00:00,exact,2026-07-28T23:15:17Z,https://jobs.ashbyhq.com/modal/38888294-6bc7-4dab-b072-6d0f0c2ed79a
smartrecruiters:BoschGroup:744000140317669,Bosch,ADAS Software Engineering Intern,Not stated,True,,Internship,,Software,"Plymouth, MI, United States",unknown,188,,Python; C++; Computer Vision,2026-07-28T18:08:13.470Z,exact,2026-07-28T18:17:40Z,https://jobs.smartrecruiters.com/BoschGroup/744000140317669
greenhouse:appian:8088496,Appian,Information Security Engineer Intern,Summer 2027,False,,Internship,,Security,"McLean, Virginia",no-sponsorship,44,$50/hr,LLMs,2026-07-27T10:49:22-04:00,exact,2026-07-27T16:20:26Z,https://job-boards.greenhouse.io/appian/jobs/8088496
smartrecruiters:BoschGroup:744000140089589,Bosch,Powertrain Controls Software Engineering Intern (6-Months),Not stated,True,,Internship,,Software,"Farmington Hills, MI, United States",unknown,188,,MATLAB; Linux,2026-07-27T20:32:15.437Z,exact,2026-07-27T20:41:58Z,https://jobs.smartrecruiters.com/BoschGroup/744000140089589
workday:nelnet:/job/Lincoln-NE/Intern-Program---Agentic-AI_R22904,Nelnet,Intern Program - Agentic AI,Not stated,True,,Internship,,Data & ML/AI,"Lincoln, NE",unknown,,,Python; Java; PyTorch; TensorFlow; Pandas,2026-07-27T00:00:00Z,date_only,2026-07-27T16:20:26Z,https://nelnet.wd1.myworkdayjobs.com/MyNelnet/job/Lincoln-NE/Intern-Program---Agentic-AI_R22904
ashby:quadrillion-labs:a4acc44c-31ce-41a0-ab44-2500487b4d05,Quadrillion,Software Engineering Intern (Summer 2027),Summer 2027,False,,Internship,,Software,New York City,unknown,,$4K – $6K per week,Python; Pandas; React,2026-07-24T03:24:43.068+00:00,exact,2026-07-24T05:51:03Z,https://jobs.ashbyhq.com/quadrillion-labs/a4acc44c-31ce-41a0-ab44-2500487b4d05
greenhouse:pdtpartners:8077685,PDT Partners,Summer 2027 Software Engineering Intern,Summer 2027,False,,Internship,,Software,"New York, NY",unknown,4,,,2026-07-24T16:16:09-04:00,exact,2026-07-25T10:40:34Z,https://job-boards.greenhouse.io/pdtpartners/jobs/8077685
smartrecruiters:BoschGroup:744000139649345,Bosch,Autonomous Driving – Internship in Machine Learning,Not stated,True,,Internship,,Data & ML/AI,"Sunnyvale, CA, United States",unknown,188,$34–$68/hr,Python; PyTorch; Azure; Linux,2026-07-24T16:12:25.654Z,exact,2026-07-24T16:37:05Z,https://jobs.smartrecruiters.com/BoschGroup/744000139649345
workday:coreandmain:/job/Saint-Louis-MO-63146/Intern---Data-Engineering----Corp_45804,Core & Main,Intern - AI/ML Data Engineering  -  Onsite - St. Louis,Not stated,True,,Internship,,Data & ML/AI,"Saint Louis, MO 63146",unknown,,,Python; SQL; scikit-learn; Pandas; Azure; Git; Spark; Tableau,2026-07-24T00:00:00Z,date_only,2026-07-24T18:20:47Z,https://coreandmain.wd1.myworkdayjobs.com/coreandmain/job/Saint-Louis-MO-63146/Intern---Data-Engineering----Corp_45804
workday:magna:/job/Troy-Michigan-US/R-D--Computer-Vision-Engineering-Intern_R00253444-1,Magna International,R&D- Computer Vision Engineering Intern,Not stated,True,,Internship,,Data & ML/AI,"Troy, Michigan, US",unknown,141,,Computer Vision; Python; PyTorch; TensorFlow; ROS,2026-07-24T00:00:00Z,date_only,2026-07-24T16:37:05Z,https://magna.wd3.myworkdayjobs.com/Magna/job/Troy-Michigan-US/R-D--Computer-Vision-Engineering-Intern_R00253444-1
greenhouse:appian:8041237,Appian,Software Engineering Intern,Summer 2027,False,,Internship,,Software,"McLean, Virginia",no-sponsorship,44,$50/hr,LLMs,2026-07-23T14:40:08-04:00,exact,2026-07-23T19:12:57Z,https://job-boards.greenhouse.io/appian/jobs/8041237
greenhouse:astranis:4699071006,Astranis,Software Engineer Intern - Enterprise Systems (Fall 2026),Fall 2026,False,,Internship,,Software,"San Francisco, CA",citizens-only,,$29/hr,Python,2026-07-23T18:05:51-04:00,exact,2026-07-23T22:12:04Z,https://job-boards.greenhouse.io/astranis/jobs/4699071006
greenhouse:tenstorrentuniversity:5186916007,Tenstorrent,"Software Engineering Intern, Power Modeling & AI Tools",Not stated,True,,Internship,,Data & ML/AI,"Santa Clara, California, United States",unknown,,$50/hr,Python; SQL; LLMs; Git,2026-07-23T14:30:30-04:00,exact,2026-07-23T19:12:57Z,https://job-boards.greenhouse.io/tenstorrentuniversity/jobs/5186916007
greenhouse:rendezvousrobotics:4328555009,Rendezvous Robotics,Software Engineering Intern (Fall 2026),Fall 2026,False,,Internship,,Software,"Golden, CO",unknown,,,Python; C++; Linux,2026-07-22T15:27:50-04:00,exact,2026-07-29T11:28:56Z,https://job-boards.greenhouse.io/rendezvousrobotics/jobs/4328555009
smartrecruiters:RedBull:744000139168339,Red Bull,"2026 Internship, Fall - Data Science",Fall 2026,False,,Internship,,Data & ML/AI,"Morristown, NJ, United States",unknown,,,SQL,2026-07-22T23:29:11.460Z,exact,2026-08-07T00:49:01Z,https://jobs.smartrecruiters.com/RedBull/744000139168339
workable:pony-dot-ai:4C1F53EF5D,Pony.ai,Research Intern - Deep Learning,Not stated,True,,Internship,,Data & ML/AI,"Fremont, California, United States",unknown,35,,Python; C++; LLMs; CUDA,2026-07-22T00:00:00.000Z,date_only,2026-07-22T21:06:13Z,https://apply.workable.com/pony-dot-ai/j/4C1F53EF5D/
workable:pony-dot-ai:BA5FFDBC71,Pony.ai,Software Engineer Intern - Generalist,Not stated,True,,Internship,,Software,"Fremont, California, United States",unknown,35,,Python; C++,2026-07-22T00:00:00.000Z,date_only,2026-07-22T21:06:13Z,https://apply.workable.com/pony-dot-ai/j/BA5FFDBC71/
workday:moog:/job/Buffalo-NY/Intern--Software-Engineering_R-26-18885-1,Moog,"Intern, Software Engineering",Not stated,True,,Internship,,Software,"Buffalo, NY",unknown,2,,,2026-07-22T00:00:00Z,date_only,2026-07-22T19:12:44Z,https://moog.wd5.myworkdayjobs.com/moog_external_career_site/job/Buffalo-NY/Intern--Software-Engineering_R-26-18885-1
greenhouse:virtu:8624408002,Virtu Financial,2027 Internship - Quantitative Trading,Summer 2027,False,,Internship,,Quant,"Austin, TX; Chicago; New York",unknown,,,Python; Java; C++; SQL,2026-07-21T15:54:04-04:00,exact,2026-08-07T00:49:01Z,https://job-boards.greenhouse.io/virtu/jobs/8624408002
greenhouse:virtu:8624410002,Virtu Financial,2027 Internship - Frontend Engineer (UI),Summer 2027,False,,Internship,,Software,New York,unknown,,,Python; Java; C++; JavaScript,2026-07-21T11:34:18-04:00,exact,2026-07-21T15:52:39Z,https://job-boards.greenhouse.io/virtu/jobs/8657500002
greenhouse:axontalentcommunity:7800617003,Axon,RenderATL 2027 US Software Engineering Internship,Summer 2027,False,,Internship,,Software,"Seattle, Washington, United States",unknown,,,Python; Java; C#; SQL; Scala; Linux,2026-07-20T21:57:41-04:00,exact,2026-07-21T02:57:41Z,https://job-boards.greenhouse.io/axontalentcommunity/jobs/7800617003
greenhouse:axontalentcommunity:7800628003,Axon,US Firmware Engineering Internship,Summer 2027,False,,Internship,,Hardware,"Seattle, Washington, United States",unknown,,,Python; C++; Go; Rust; Linux,2026-07-20T21:57:45-04:00,exact,2026-07-21T02:57:41Z,https://job-boards.greenhouse.io/axontalentcommunity/jobs/7837246003
greenhouse:ctccampusboard:4708188005,Chicago Trading Company,Quant Trading Internship - Summer 2027,Summer 2027,False,,Internship,,Quant,"Chicago, Illinois, United States",unknown,,,Python,2026-07-20T13:38:31-04:00,exact,2026-08-07T00:49:01Z,https://job-boards.greenhouse.io/ctccampusboard/jobs/4708188005
greenhouse:ctccampusboard:4708230005,Chicago Trading Company,Software Engineering Internship - Summer 2027,Summer 2027,False,,Internship,,Software,"Chicago, Illinois, United States",unknown,,,Python; Java; C++,2026-07-20T11:59:16-04:00,exact,2026-07-20T18:11:27Z,https://job-boards.greenhouse.io/ctccampusboard/jobs/4708230005
lever:acds:01fdf41b-a835-4e00-8d01-0275677a8f08,ACDS,AI Operations Intern-Caddell Reynolds,Not stated,True,,Internship,,Data & ML/AI,"Fort Smith, AR",unknown,,15 USD/hr,LLMs,2026-07-20T14:48:11Z,exact,2026-07-20T18:11:27Z,https://jobs.lever.co/acds/01fdf41b-a835-4e00-8d01-0275677a8f08
