id,company,title,season,season_inferred,seasons,program,remote,category,location,sponsorship,h1b_approvals,salary,skills,posted_at,posted_at_source,first_seen_at,url
greenhouse:towerresearchcapital:8024128,Tower Research Capital,Quantitative Trader/Researcher Intern - Summer 2027,Summer 2027,False,,Internship,,Quant,"New York, Chicago",unknown,38,,Python; C++; Linux,2026-07-05T17:48:24-04:00,exact,2026-08-07T00:49:01Z,https://www.tower-research.com/open-positions/?gh_jid=8024128
greenhouse:towerresearchcapital:8044334,Tower Research Capital,Quantitative Developer Intern - Summer 2027,Summer 2027,False,,Internship,,Quant,"New York, Chicago",unknown,38,,Python; C++; Linux,2026-07-05T17:48:21-04:00,exact,2026-07-05T23:08:17Z,https://www.tower-research.com/open-positions/?gh_jid=8044334
greenhouse:imc:4823923101,IMC Trading,Quantitative Trader Intern - Summer 2027,Summer 2027,False,,Internship,,Quant,"Chicago, United States",unknown,13,,Python; MATLAB,2026-07-01T13:11:12-04:00,exact,2026-08-07T00:49:01Z,https://job-boards.eu.greenhouse.io/imc/jobs/4823923101
greenhouse:imc:4823924101,IMC Trading,Software Engineer Intern - Summer 2027,Summer 2027,False,,Internship,,Software,"Chicago, United States",unknown,13,,Java; C++,2026-07-01T13:11:54-04:00,exact,2026-07-01T20:55:33Z,https://job-boards.eu.greenhouse.io/imc/jobs/4823924101
greenhouse:imc:4907399101,IMC Trading,Quantitative Research Intern (BS/MS) - Summer 2027,Summer 2027,False,,Internship,,Quant,"Chicago, United States",unknown,13,,Python; C++,2026-07-01T13:18:55-04:00,exact,2026-08-07T00:49:01Z,https://job-boards.eu.greenhouse.io/imc/jobs/4907399101
greenhouse:imc:4907430101,IMC Trading,Machine Learning Research Intern - Summer 2027 - Chicago,Summer 2027,False,,Internship,,Data & ML/AI,"Chicago, United States",unknown,13,,Python; PyTorch; TensorFlow,2026-07-01T13:18:38-04:00,exact,2026-07-01T20:55:33Z,https://job-boards.eu.greenhouse.io/imc/jobs/4907430101
workday:nvidia:/job/US-CA-Santa-Clara/Applied-Research-Intern--NLP---Fall-2026_JR2010488,NVIDIA,"Applied Research Intern, NLP - Fall 2026",Fall 2026,False,,Internship,,Data & ML/AI,"US, CA, Santa Clara",unknown,1526,,Python; PyTorch,2026-07-01T00:00:00Z,date_only,2026-07-02T18:48:20Z,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Applied-Research-Intern--NLP---Fall-2026_JR2010488
ashby:junior:23ee686b-d305-4ac9-860d-16c99ddb4891,Junior,Software Engineering Intern — Fall 2026,Fall 2026,False,,Internship,,Software,New York City,citizens-only,,$40/hr,TypeScript; JavaScript; LLMs; Next.js,2026-06-30T18:51:50.247+00:00,exact,2026-07-13T11:18:44Z,https://jobs.ashbyhq.com/junior/23ee686b-d305-4ac9-860d-16c99ddb4891
greenhouse:figureai:4691070006,Figure,Firmware Intern [Fall 2026],Fall 2026,False,,Internship,,Hardware,"San Jose, CA",unknown,,$40–$45/hr,Python; C++,2026-06-22T14:13:34-04:00,exact,2026-06-30T12:14:22Z,https://job-boards.greenhouse.io/figureai/jobs/4691070006
workday:copart:/job/Dallas-TX---Headquarters/Software-Engineering-Intern_JR109441,Copart,Software Engineering Intern,Not stated,True,,Internship,,Software,"Dallas, TX - Headquarters",unknown,83,,Java; SQL; Spring; Kafka; Redis,2026-06-18T00:00:00Z,date_only,2026-07-16T07:39:11Z,https://copart.wd12.myworkdayjobs.com/copart/job/Dallas-TX---Headquarters/Software-Engineering-Intern_JR109441
lever:solopulseco:00fbde18-a387-4c9f-97d4-77059aec7b56,SoloPulse,Software Engineer Intern/Co-Op - Fall 2026,Fall 2026,False,,Internship / Co-op,,Software,"Peachtree Corners, GA",unknown,,,Python; C++; PyTorch; CUDA,2026-06-16T18:53:22Z,exact,2026-06-30T12:14:22Z,https://jobs.lever.co/solopulseco/00fbde18-a387-4c9f-97d4-77059aec7b56
greenhouse:voloridgeinvestmentmanagement:4224862009,Voloridge,Quantitative Developer Intern 2027,Summer 2027,False,,Internship,,Quant,"Jupiter, FL",unknown,,,Python; C++; C#; SQL,2026-06-11T09:46:12-04:00,exact,2026-07-20T10:59:21Z,https://job-boards.greenhouse.io/voloridgeinvestmentmanagement/jobs/4224862009
greenhouse:voloridgeinvestmentmanagement:4226247009,Voloridge,Quantitative Research Intern 2027,Summer 2027,False,,Internship,,Quant,"Jupiter, FL",unknown,,,Python,2026-06-11T10:40:18-04:00,exact,2026-08-07T00:49:01Z,https://job-boards.greenhouse.io/voloridgeinvestmentmanagement/jobs/4226247009
greenhouse:andurilindustries:5148079007,Anduril,2027 Software Engineer Intern,Summer 2027,False,,Internship,,Software,"Atlanta, Georgia, United States; Boston, Massachusetts, United States; Broomfield, Colorado, United States; Colorado Springs, Colorado, United States; Costa Mesa, California, United States; Fort Collins, Colorado, United States; Irvine, California, United States; Reston, Virginia, United States; Seattle, Washington, United States",citizens-only,,,Python; Java; C++; Rust; Computer Vision,2026-06-10T19:33:06-04:00,exact,2026-06-30T12:22:43Z,https://boards.greenhouse.io/andurilindustries/jobs/5148079007?gh_jid=5148079007
ashby:beaconsoftware:2452d342-a069-4eda-adbe-9df296808ca1,Beacon Software,Software Engineering Intern,Fall 2026,False,,Internship,,Software,"San Francisco, CA",unknown,,,Python; TypeScript; LLMs; dbt; Databricks; Snowflake; PostgreSQL,2026-06-02T00:08:18.727+00:00,exact,2026-07-16T07:39:11Z,https://jobs.ashbyhq.com/beaconsoftware/2452d342-a069-4eda-adbe-9df296808ca1
greenhouse:walleyecapital-external-students:4679168006,Walleye Capital,Quantic – Quantitative Developer Intern (Summer 2027),Summer 2027,False,,Internship,,Quant,"Boston, MA",unknown,,,Python; Bash; PyTorch; TensorFlow; scikit-learn; LLMs; Linux,2026-06-01T07:17:40-04:00,exact,2026-06-30T12:14:22Z,https://job-boards.greenhouse.io/walleyecapital-external-students/jobs/4679168006
greenhouse:astranis:4681183006,Astranis,Software Engineer- Backend Intern (Fall 2026),Fall 2026,False,,Internship,,Software,"San Francisco, CA",citizens-only,,$29/hr,Python; Kubernetes; PostgreSQL,2026-05-13T16:07:31-04:00,exact,2026-06-30T12:14:22Z,https://job-boards.greenhouse.io/astranis/jobs/4681183006
amazon:amazon:10412530,Amazon,"Software Development Engineer Intern, AWS Data Services - Fall 2026 (US)",Fall 2026,False,,Internship,,Data & ML/AI,"Seattle, Washington, USA",unknown,23139,,AWS; Python; Java; C++; C#; Rust; TypeScript; SQL,2026-05-06T00:00:00Z,date_only,2026-06-30T17:50:48Z,https://www.amazon.jobs/en/jobs/10412530/software-development-engineer-intern-aws-data-services-fall-2026-us
lever:hermeus:a3a1f0ea-6a4f-42e5-81c8-3b34dac22a67,Hermeus,Software Engineering Intern (Command & Control) - Fall 2026,Fall 2026,False,,Internship,,Software,"Atlanta, GA",citizens-only,,25–33 USD/hr,C++; TypeScript; JavaScript; React; Angular,2026-04-01T03:02:00Z,exact,2026-06-30T12:14:22Z,https://jobs.lever.co/hermeus/a3a1f0ea-6a4f-42e5-81c8-3b34dac22a67
workday:motorolasolutions:/job/Irvine-CA/Intern---Embedded-Software--System--and-Test-Engineer---2026_R62372,Motorola,"Intern - Embedded Software, System, and Test Engineer - 2026",Fall 2026,False,,Internship,,Software,"Irvine, CA",citizens-only,,,,2026-03-30T00:00:00Z,date_only,2026-07-01T20:55:33Z,https://motorolasolutions.wd5.myworkdayjobs.com/Careers/job/Irvine-CA/Intern---Embedded-Software--System--and-Test-Engineer---2026_R62372
ashby:ellipsislabs:02136b22-35b1-4b3d-8bef-567c3380a849,Ellipsis Labs,Software Engineer - 2027 Interns,Summer 2027,False,,Internship,,Software,"New York, New York",unknown,,$10K per month,Python; Java; C++; Rust; TypeScript; JavaScript; React; Docker,2026-03-26T19:40:01.700+00:00,exact,2026-06-30T12:14:22Z,https://jobs.ashbyhq.com/ellipsislabs/02136b22-35b1-4b3d-8bef-567c3380a849
lever:hermeus:51378fa0-0327-45fd-9420-b6e7d8b56440,Hermeus,Flight Software Engineering Intern - Fall 2026,Fall 2026,False,,Internship,,Software,"Atlanta, GA",citizens-only,,25–33 USD/hr,C++,2026-03-04T23:43:47Z,exact,2026-06-30T12:14:22Z,https://jobs.lever.co/hermeus/51378fa0-0327-45fd-9420-b6e7d8b56440
amazon:amazon:3136266,Amazon,Robotics - Software Development Engineer Intern/Co-op - 2026,Fall 2026,False,,Internship / Co-op,,Hardware,"Westboro, Massachusetts, USA",unknown,23139,,Python; Java; C++; C#; Rust; TypeScript; SQL; LLMs,2025-12-03T00:00:00Z,date_only,2026-06-30T17:50:48Z,https://www.amazon.jobs/en/jobs/3136266/robotics-software-development-engineer-intern-co-op-2026
amazon:amazon:3132414,Amazon,"Amazon Industrial Robotics - Applied Scientist II Intern / Co-op - 2026, Amazon Industrial Robotics",Fall 2026,False,,Internship / Co-op,,Data & ML/AI,"North Reading, Massachusetts, USA",unknown,23139,$65.38/hr,Python; Java; C++; LLMs; Computer Vision,2025-11-25T00:00:00Z,date_only,2026-06-30T17:50:48Z,https://www.amazon.jobs/en/jobs/3132414/amazon-industrial-robotics-applied-scientist-ii-intern-co-op-2026-amazon-industrial-robotics
amazon:amazon:3116030,Amazon,Software Development Engineer Internship - Fall 2026 (US),Fall 2026,False,,Internship,,Software,"Seattle, Washington, USA",unknown,23139,,Python; Java; C++; C#; Rust; TypeScript; SQL; LLMs,2025-10-27T00:00:00Z,date_only,2026-06-30T17:50:48Z,https://www.amazon.jobs/en/jobs/3116030/software-development-engineer-internship-fall-2026-us
amazon:amazon:3104589,Amazon,"Robotics - Applied Scientist II Intern / Co-op - 2026 (Robotics, Manipulation, Perception, Motion Planning, Autonomous Mobile Robots, Computer Vision, Machine Learning, Controls, and more)",Fall 2026,False,,Internship / Co-op,,Data & ML/AI,"North Reading, Massachusetts, USA",unknown,23139,,Computer Vision; Python; Java; C++; LLMs,2025-10-08T00:00:00Z,date_only,2026-06-30T17:50:48Z,https://www.amazon.jobs/en/jobs/3104589/robotics-applied-scientist-ii-intern-co-op-2026-robotics-manipulation-perception-motion-planning-autonomous-mobile-robots-computer-vision-machine-learning-controls-and-more
greenhouse:virtu:8142539002,Virtu Financial,2027 Internship - Quantitative Researcher (Undergrad),Summer 2027,False,,Internship,,Quant,New York,unknown,,,Python; C++; Pandas,2025-09-12T07:14:41-04:00,exact,2026-08-07T00:49:01Z,https://job-boards.greenhouse.io/virtu/jobs/8142539002
greenhouse:point72:7297642002,Point72,Summer 2027 Quantitative Research Internship,Summer 2027,False,,Internship,,Quant,New York,unknown,48,,Python; C++,2024-08-15T17:28:38-04:00,exact,2026-08-07T00:49:01Z,https://boards.greenhouse.io/point72/jobs/7297642002?gh_jid=7297642002
